clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_14q31.3	0.339470230173809	0.342016962143432	0.314470058071481	0.829403858439984	0.829917845494114	0.775710052705865	0.475906326661228	0.478237850775093	0.906446811807614	0.0946451596574731	0.0998585227739412	0.107565810110105	0.476241583487683	0.478334111419835	0.483263544422099	0.677693918137873	0.678261356454846	0.786323526965093	0.547773219645158	0.547877693699434	0.611215212241447	0.0146536534509577	0.0165673976650207	0.00686914651844507	0.179692670444338	0.183714352476085	0.221427502606837
Amp_14q32.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_15q14	0.071236698999266	0.0777230640338331	0.0134147518520145	NA	NA	NA	NA	NA	NA	0.14425329608349	0.151348041994098	0.0510557034268835	NA	NA	NA	NA	NA	NA	0.304142944100469	0.306214431699477	0.323095056260296	NA	NA	NA	NA	NA	NA
Del_16p12.2	0.46188979738794	0.462827727437363	0.673683151883221	NA	NA	NA	NA	NA	NA	0.369516254482695	0.372599181144892	0.972478873782955	NA	NA	NA	NA	NA	NA	0.196359540140048	0.201318584695114	0.413757987255628	NA	NA	NA	NA	NA	NA
Del_16q23.1	NA	NA	NA	0.408682891732088	0.410025697718159	0.432548554168906	NA	NA	NA	NA	NA	NA	0.328604633799501	0.331602921087146	0.321560353329039	NA	NA	NA	NA	NA	NA	0.538278530372466	0.539831607458442	0.679674489730526	NA	NA	NA
Amp_17p13.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_17p13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_17q11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_17q25.1	NA	NA	NA	0.701321590444683	0.701709254564199	0.757980963581317	NA	NA	NA	NA	NA	NA	0.834624395548121	0.834394461927498	0.925182354211887	NA	NA	NA	NA	NA	NA	0.72764504304832	0.72829575367972	0.759482884673148	NA	NA	NA
Del_18q23	0.252459764432499	0.259604197211767	0.213339021893115	0.446865957051447	0.449692649111938	0.0689986574733246	0.482333588801376	0.48662327994585	0.500609310657089	0.163653384558078	0.173051514127032	0.0888628797195228	0.323375687795468	0.328203760519072	0.108032970194152	0.482333588801376	0.48662327994585	0.500609310657089	0.279791571622378	0.285690066566802	0.259130161532436	0.315000833670447	0.318474318856509	0.159834965475256	0.820538067352056	0.820690316318444	0.963131053912447
Amp_19p13.3	NA	NA	NA	0.456644224844662	0.459914123586694	0.807493756953777	NA	NA	NA	NA	NA	NA	0.307978272940395	0.314190265209026	0.484211658582729	NA	NA	NA	NA	NA	NA	0.0102901692323963	0.012450301161577	1.46169589861335e-05	NA	NA	NA
Amp_19q12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_19q13.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_19q13.41	0.31630371869278	0.317577374532433	0.200738647659074	0.95439871808614	0.954399521379919	0.872873782107749	0.670519133845292	0.670945252891777	0.560719751316121	0.298599074243882	0.30034809274613	0.261839805194698	0.947253777112713	0.947255357864262	0.986423913612158	0.614619933321951	0.615492130015965	0.632360897652348	0.0616394653639085	0.0639287847744906	0.0732169905883285	0.498781323055563	0.499460047638761	0.488152811120702	0.452722308657413	0.454321518398273	0.447359831837906
Del_19q13.43	0.181316836354091	0.183818032813901	0.103452653656885	0.504386535150973	0.505359131839295	0.375269445687542	0.886364214216177	0.886379413098185	0.898960027590343	0.263190922764544	0.265292153615572	0.207479325612458	0.63009396616549	0.630634920649303	0.66445917639676	0.928801645342977	0.928806746353898	0.900289874571193	0.258935842298181	0.260372730852752	0.303529430069285	0.686332477400418	0.686522470199863	0.901345110935194	0.198675373080724	0.202715419823738	0.326259583895598
Del_22q13.32	0.800466418983808	0.801033740684341	0.774279906684495	0.128778756575526	0.134826451148392	0.753387733593031	0.490311674358776	0.493632486003104	0.926511417340653	0.862635876572582	0.863133771681273	0.806925266458826	0.0175569106821946	0.0229158946371547	0.246000316058608	0.243358642423756	0.254812874324888	0.79123899967188	0.492518395201336	0.494607018428048	0.866403959300617	0.0773072087615179	0.081724855304785	0.631116680798737	0.192812256244103	0.202715751135234	0.201274126404719
