"ROW_ID"	"ROW_VERSION"	"pair_barcode"	"cellularity"	"ploidy"	"slpp"
"186"	"1"	"GLSS-SF-0065-R1-01-NB-01D-WXS"	"0.51"	"5.9"	"0.434800446012059"
"187"	"1"	"GLSS-SM-R063-TP-01-NB-01D-WXS"	"0.25"	"2.4"	"0.434643118856542"
"188"	"1"	"GLSS-LU-0B10-R1-01-NB-01D-WXS"	"0.57"	"2.2"	"0.43405535571295"
"189"	"1"	"GLSS-SM-R057-TP-01-NB-01D-WXS"	"0.83"	"2.3"	"0.433880372511221"
"190"	"1"	"TCGA-DU-5870-TP-11-NB-01D-WXS"	"0.76"	"2"	"0.431922976023809"
"191"	"1"	"GLSS-CU-R005-TP-01-NB-01D-WXS"	"0.78"	"2.5"	"0.430941239710819"
"192"	"1"	"GLSS-19-0271-TP-01-NB-01D-WXS"	"0.68"	"2.2"	"0.430423316096058"
"193"	"1"	"GLSS-SF-0028-TP-01-NB-01D-WXS"	"0.83"	"2"	"0.429352531508361"
"194"	"1"	"GLSS-HF-3016-TP-01-NB-01D-WXS"	"0.88"	"5.7"	"0.427483981488249"
"195"	"1"	"GLSS-19-0274-R1-02-NB-01D-WXS"	"1"	"2.8"	"0.426886526401823"
"196"	"1"	"GLSS-SF-0058-TP-01-NB-01D-WXS"	"0.92"	"3"	"0.426747835984494"
"197"	"1"	"GLSS-MD-0017-R2-01-NB-01D-WGS"	"0.62"	"2"	"0.425206732745575"
"198"	"1"	"GLSS-HK-0002-TP-01-NB-01D-WGS"	"0.58"	"2.2"	"0.424003100073017"
"199"	"1"	"GLSS-MD-0135-R1-01-NB-01D-WXS"	"0.77"	"2.5"	"0.422011024605531"
"200"	"1"	"GLSS-MD-0018-R1-01-NB-01D-WGS"	"0.69"	"3.5"	"0.420273040073841"
"201"	"1"	"GLSS-SF-0020-R1-01-NB-01D-WXS"	"0.81"	"2"	"0.420187836773766"
"202"	"1"	"GLSS-DF-0006-TP-01-NB-01D-WXS"	"0.59"	"3.5"	"0.418882181593895"
"203"	"1"	"TCGA-FG-A4MT-R1-11-NB-01D-WGS"	"0.68"	"2"	"0.41798923112521"
